Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Арсенич,Богданна,Григоріївна,Жінка,1968.03.19,Астрофізик,місто Барвінкове,"шосе Костанді 2-й, буд. 2 кв. 03, Баранівка, 79596",+380 25 948-87-88,nataliia19@example.net
Василашко,Зиновій,Юстиніанівна,Чоловік,1975.02.04,Промисловець,село Токмак,"проспект Просьолочна, буд. 1 кв. 726, Залізне, 80906",+380 19 033 61 15,bazylevychhavrylo@example.org
Байдак,Охрім,Захарович,Чоловік,1997.11.30,Зоолог,селище Кам'янське,"парк Івана Франка, буд. 67, Кременчук, 06307",+380 42 210 49 27,levchenkobohuslav@example.org
Кащенко,Леонтій,Іларіонівна,Чоловік,2002.12.15,Електрик,хутір Лутугине,"парк Кільцева, буд. 7, Семенівка, 29228",+380 49 562-79-08,vnosachenko@example.com
Атрощенко,Орхип,Юхимівна,Чоловік,1964.04.28,Громадський діяч,місто Татарбунари,"площа Кипарисний 2-й, буд. 021 кв. 47, Армянськ, 56177",060 966 21 58,moskalsviatoslava@example.com
Чередник,Василь,Мар’янівна,Чоловік,1999.02.12,Бібліотекар,місто Молодогвардійськ,"проспект Лесі Українки, буд. 36, Овруч, 93220",108 84 25,avhustyndubas@example.net
Чумаченко,Хома,Савеліївна,Чоловік,1956.03.23,Прокурор,селище Заводське,"парк ім. К.Г. Паустовського, буд. 598, Судак , 99522",+380 94 738-79-45,prokhirarsenych@example.com
Притула,Анастасія,Семіонівна,Жінка,2008.01.02,Конструктор,місто Костопіль,"провулок Залізнична, буд. 7, Моспине, 65955",+380 41 342-60-87,valentyn42@example.com
Копитко,Альбіна,Силуанівна,Жінка,1969.10.05,Астрофізик,село Алушта,"вулиця Авіаційна, буд. 2, Коростишів, 96711",044 665 80 05,fareniukmarta@example.com
Демиденко,Ярослава,Горгоніївна,Жінка,1990.11.28,Актор,селище Ніжин,"площа Кредитний, буд. 35 кв. 09, Христинівка, 88322",686 91 84,bchumak@example.net
Демʼянюк,Орися,Мстиславович,Жінка,1979.11.16,Фізик,хутір Ходорів,"площа 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 3, Благовіщенське, 52105",000 897 95 86,vshtokalo@example.com
Яремчук,Леон,Анікітівна,Чоловік,1967.01.05,Продюсер,хутір Новодружеськ,"сквер Пересипська 5-та, буд. 51, Тернопіль, 97684",+380 (02) 867-25-98,emiliiaivashchenko@example.net
Голобородько,Ігор,Назаріївна,Чоловік,1988.05.15,Провізор,селище Євпаторія,"набережна Глухий міст, буд. 02, Слов'янськ, 93471",067 706 95 94,orest56@example.com
Єсипенко,Мирослав,Варфоломійович,Чоловік,1994.04.08,Дипломат,місто Мена ,"площа Гагарінське плато, буд. 36 кв. 4, Алчевськ, 23200",102 02 41,irynaartiukh@example.org
Носенко,Олекса,Вітольдівна,Чоловік,1956.11.08,Мінералог,село Андрушівка,"набережна Геранієва, буд. 4 кв. 45, Мар'їнка, 36451",094 547 64 84,bdavydenko@example.net
Цюцюра,Богодар,Даніїлівна,Чоловік,1965.01.18,Фармацевт,селище Алушта,"парк 1-ша Лінія Марії Демченко, буд. 840 кв. 52, Любомль, 80208",+380 16 971-72-00,sofiiaprotsenko@example.org
Килимник,Максим,Семенівна,Чоловік,2007.04.08,Дантист,місто Очаків,"шосе Катаєва, буд. 814, Бурштин , 26338",091 39 32,aorobets@example.org
Артим,Юстина,Ростиславівна,Жінка,2005.12.09,Водій,місто Корсунь-Шевченківський,"вулиця Градоначальницька, буд. 93, Балта, 91578",+380 (45) 273-10-78,varfolomii01@example.com
Вдовенко,Едита,Юхиміанівна,Жінка,2005.10.12,Петрограф,хутір Бахчисарай,"набережна Університетський, буд. 22, Олександрія, 68767",+380 (20) 834-49-93,ihaidamaka@example.com
Приходько,Наталія,Семіонівна,Жінка,2000.05.08,Палеонтолог,місто Волноваха,"провулок Калинова, буд. 2 кв. 9, Хорол , 32020",104 09 98,valentyndubenko@example.net
Овчаренко,Варвара,Мірілівна,Жінка,1971.10.11,Економіст,хутір Слов'янськ,"вулиця Мічуріна, буд. 15, Голубівка, 46737",852-17-46,venedykt85@example.net
Щириця,Остап,Мінаївна,Чоловік,2005.01.21,Дизайнер,місто Рахів,"набережна Гагарінське плато, буд. 2 кв. 754, Винники, 37177",+380 (50) 050-34-13,kandroshchuk@example.org
Вовк,Віктор,Варфоломійович,Чоловік,1994.03.23,Філолог,місто Жашків,"набережна Садиковська, буд. 73 кв. 7, Кілія, 91278",+380 46 239 75 85,iesypenkoborys@example.org
Рудик,Лукʼян,Зосимівна,Чоловік,1967.02.27,Гірничий інженер,село Волочиськ,"шосе Соляний 3-й, буд. 624, Звенигородка, 58387",+380 41 033 40 89,radchenkoveniiamyn@example.com
Овсієнко,Назар,Симонівна,Чоловік,2004.07.11,Етнограф,хутір Борзна,"площа Першотравневий 1-й, буд. 09 кв. 92, Гребінка, 98810",+380 (74) 422-28-21,opanasievdokymenko@example.net
Дубас,Алевтин,Ростиславівна,Чоловік,2002.07.03,Льотчик,село Сніжне,"сквер Бабеля, буд. 5, Болехів, 99803",029 430 47 78,iustymkolodub@example.net
Безбородько,Онисим,Даніїлівна,Чоловік,1982.09.20,Каскадер,село Лиман ,"вулиця Першотравневий 3-й, буд. 7, Болград, 70663",841 28 42,iukhymenkomykyta@example.com
Баранник,Віолетта,Володиславівна,Жінка,1967.05.25,Петрограф,хутір Дунаївці,"набережна Мічманський 2-й, буд. 930, Канів, 51487",+380 21 858-62-33,riabetsivan@example.org
Забарний,Роксолана,Левівна,Жінка,2007.07.26,Модельєр,хутір Кадіївка,"парк Посмітного, буд. 80, Подільськ, 88819",+380 (24) 044-41-00,ilaba@example.com
Заруба,Лариса,Мар’янович,Жінка,1985.05.15,Антрополог,село Винники,"набережна Морський 2-й, буд. 42 кв. 319, Новомосковськ, 51472",+380 88 421 89 63,tetianavanchenko@example.org
Андрусенко,Розалія,Святославівна,Жінка,2005.03.15,Мовознавець,місто Карлівка,"проспект Отрадна, буд. 013, Хуст, 33992",+380 74 579 15 31,boryslavmatviienko@example.org
Канівець,Богодар,Іракліївна,Чоловік,1999.04.02,Промисловець,місто Шаргород,"провулок Ольгіївський узвіз, буд. 378 кв. 48, Саки , 77247",+380 54 207-41-06,wradchenko@example.net
Чабан,Олександр,Євгенович,Чоловік,1984.12.25,Слідчий,місто Зугрес,"парк Кордонний, буд. 1, Новогродівка, 04698",039 776-53-97,marta90@example.org
Алексеєнко,Григорій,Антігонівна,Чоловік,1995.09.17,Композитор,місто Тальне,"узвіз Яружний, буд. 05 кв. 4, Хрестівка, 65917",025 409 52 33,edyta40@example.org
Затовканюк,Пармен,Федосіївна,Чоловік,1959.01.24,Ґрунтознавець,хутір Луцьк,"набережна Центральна, буд. 504, Костопіль, 12052",+380 16 107 10 54,amaliia30@example.org
Архимович,Веніямин,Горгоніївна,Чоловік,1964.12.23,Фермер,селище Арциз,"площа ПшеничнаРадищева, буд. 002 кв. 5, Дружба , 22533",033 129 59 29,kamilla04@example.net
Захарченко,Владислав,Філаретівна,Чоловік,1983.09.16,Юрист,селище Вільнянськ,"провулок Лінія 48-ма, буд. 804 кв. 695, Жашків, 48097",+380 97 386-65-35,teodor54@example.net
Забарний,Ліза,Юхимович,Жінка,2004.09.16,Фермер,селище Тетіїв,"вулиця Кришталева, буд. 8 кв. 463, Горлівка, 57803",040 478-85-85,jiakymenko@example.com
Орлик,Єлисавета,Всеволодівна,Жінка,1958.10.20,Флорист,село Гребінка,"площа Деволанівська, буд. 142 кв. 8, Вільнянськ, 75206",+380 32 945-04-94,pzaiets@example.net
Вітрук,Богуслава,Сергійович,Жінка,1968.09.18,Фольклорист,місто Часів Яр,"площа Аеродромний 3-й, буд. 513, Чоп, 21658",+380 (93) 557-42-43,tryhubsnizhana@example.org
Дейнеко,Софія,Силуанівна,Жінка,2000.03.17,Бізнесмен,місто Курахове,"шосе Москвіна, буд. 4 кв. 375, Жашків, 23632",015 561 93 44,anzhelatelizhenko@example.org
Нестайко,Сергій,Філімонівна,Чоловік,2002.11.23,Гірничий інженер,хутір Острог,"площа Йосипа Тимченка, буд. 198, Іршава, 95629",+380 63 468-25-26,aarontovstolis@example.com
Негода,Феофан,Вадимівна,Чоловік,1973.04.19,Золотар,селище Новогродівка,"набережна Кордонна, буд. 90 кв. 30, Лиман , 33208",687-34-35,olifirenkovolodymyra@example.net
Туркало,Ігнат,Мірілівна,Чоловік,1985.02.03,Вчитель,селище Кадіївка,"сквер Абрикосовий, буд. 6 кв. 304, Малин, 61864",094 628 71 91,zbashpolchenko@example.net
Устенко,Олекса,Корнеліївна,Чоловік,2007.06.16,Математик,селище Вуглегірськ,"площа Жаботинського, буд. 0, Білопілля, 35821",029 058 52 38,feofan89@example.net
Єфименко,Степан,Євстахіївна,Чоловік,1966.12.28,Патологоанатом,селище Скадовськ,"парк Желябова, буд. 8, Тиврів, 21271",+380 14 361-47-93,criabets@example.net
Дзиндра,Азар,Васильович,Чоловік,1969.11.02,Каскадер,місто Гірник ,"вулиця Березовий, буд. 74, Борзна, 49850",855 70 34,violetta65@example.net
Козак,Орина,Володиславівна,Жінка,1967.11.18,Петрограф,хутір Новодністровськ,"площа Парусна, буд. 981 кв. 67, Куп'янськ, 20515",441 38 30,slysenko@example.com
Юрчук,Альбіна,Лідійовна,Жінка,1994.03.30,Астронавт,село Кролевець,"узвіз Артилерійський 2-й, буд. 96 кв. 3, Тульчин, 08422",075 487-58-87,nosenkosvitlana@example.com
Гузій,Любов,Казимирівна,Жінка,1991.01.04,Зоолог,селище Мукачево,"узвіз Недєліна, буд. 65, Жашків, 04532",+380 (79) 562-61-63,matviienkooleksa@example.net
Андрієвич,Богданна,Анікітівна,Жінка,1970.11.05,Менеджер,селище Роздільна,"парк Магнітогорський 2-й, буд. 6, Косів, 30457",+380 (23) 662-95-76,demyd85@example.org
Баранник,Борис,Феофанівна,Чоловік,1975.03.18,Локсмайстер,місто Бахмач,"узвіз Лінійна, буд. 86 кв. 68, Миронівка, 52012",+380 17 083-60-76,zharkoliubov@example.com
Валенко,Аврелій,Назаріївна,Чоловік,1958.01.05,Дизайнер,місто Тальне,"сквер Озерна, буд. 7, Городенка, 08986",+380 (85) 449-74-16,olena91@example.net
Вівчаренко,Демид,Юхимівна,Чоловік,1990.06.24,Менеджер,хутір Тетіїв,"провулок Карантинний узвіз, буд. 78 кв. 23, Сновськ, 85940",082 55 51,aiaremko@example.net
Ємельяненко,Артем,Дмитрович,Чоловік,1973.03.10,Стиліст,хутір Брянка,"вулиця Асєєва Юрія, буд. 4 кв. 9, Вовчанськ, 67669",+380 (82) 371-93-73,snizhana88@example.org
Швачка,Прохір,Сергійович,Чоловік,1994.07.29,Акушер,село Новий Буг,"сквер Марії Демченко 2-й, буд. 00, Сміла, 10836",+380 54 194 79 38,fmedvedenko@example.com
Слюсар,Олег,Макарович,Чоловік,1996.04.24,Підприємець,селище Бахмач,"шосе Анни Ахматової, буд. 6 кв. 61, Фастів, 10948",869 20 37,ybalaban@example.net
Вертипорох,Роксолана,Корнеліївна,Жінка,1993.08.02,Клавішник,село Біляївка,"набережна Змієнка Всеволода, буд. 5, Житомир, 48758",560 42 78,sievtushenko@example.com
Єременко,Марʼяна,Давидович,Жінка,2007.07.23,Фрілансер,селище Ясинувата,"вулиця Український 2-й, буд. 927 кв. 7, Дебальцеве, 12873",687-58-92,fbazavluchenko@example.org
Артимович,Ліза,Симонівна,Жінка,1978.09.26,Біолог,село Свалява,"вулиця Суперфосфатна, буд. 29, Полтава, 09010",077 339 02 76,nalyvaikomarusia@example.net
Даньків,Марина,Сергійович,Жінка,1960.04.04,Патологоанатом,місто Сквира,"парк Чапаєва, буд. 223 кв. 2, Судак , 09864",099 757-31-49,irena85@example.com
Ґереґа,Степан,Даніїлівна,Чоловік,1981.09.19,Журналіст,хутір Сміла,"узвіз Градоначальницька, буд. 5, Бахчисарай, 41757",018 817-42-24,gshelest@example.com
Зубко,Августин,Володимирівна,Чоловік,1969.07.21,Громадський діяч,село Бердянськ,"набережна Мельницька, буд. 248, Моспине, 46998",065 507 60 96,hryhorii32@example.com
Чабан,Борис,Давидович,Чоловік,1959.11.03,Педагог,селище Городок,"проспект Нерубайська, буд. 5, Гірник , 64173",+380 73 257-19-54,emiliiachaban@example.net
Сацюк,Кирило,Володимирівна,Чоловік,1980.01.30,М'ясник,місто Устилуг,"провулок Лінія 32-га, буд. 9 кв. 95, П'ятихатки, 96940",+380 04 307 50 00,derhachsviatoslava@example.org
Вовк,Дан,Мірілівна,Чоловік,1955.11.06,Мікробіолог,хутір Помічна,"вулиця Восьмого Березня Лінія 5-та, буд. 254, Дебальцеве, 05518",+380 15 067-72-52,averchenkofrants@example.net
Ющенко,Григорій,Сергійович,Чоловік,1996.03.04,Астроном,село Оріхів,"вулиця Іванівський переїзд, буд. 44, Покровськ, 48872",+380 77 360 54 34,kvysochan@example.org
Жадан,Данна,Федорович,Жінка,1974.01.03,Підприємець,село Суми,"проспект Флотський 2-й, буд. 3 кв. 9, Глиняни, 39650",+380 13 708 70 14,bohdanna95@example.net
Ніколюк,Анастасія,Мар’янович,Жінка,1986.10.17,Кінорежисер,місто Новий Калинів,"площа Академіка Гаркавого, буд. 0 кв. 1, Підгайці, 68131",+380 (87) 395-51-33,pavlenkomaryna@example.org
Рак,Василина,Дмитрович,Жінка,1980.02.25,Фармацевт,село Ізяслав,"вулиця Чехова, буд. 0, Феодосія, 56674",+380 62 985-33-06,frudyk@example.net
Бездітко,Марʼяна,Лаврінівна,Жінка,1996.09.04,Няня,хутір Горлівка,"шосе Матроська Слобідка, буд. 028 кв. 3, Охтирка, 42534",045 684-27-89,artiushenkomaksym@example.net
Запорожець,Венедикт,Юхимович,Чоловік,1975.07.17,Астрофізик,хутір Кремінна,"набережна Орликова, буд. 801, Узин, 83072",632 77 06,mariia63@example.net
Гаєвський,Петро,Спартаківна,Чоловік,1994.01.03,Живописець,село Бахчисарай,"площа Садова, буд. 351, Київ, 37607",088 137-75-58,davyd45@example.com
Чумаченко,Яків,Макарович,Чоловік,1972.01.10,Менеджер,місто Ковель,"набережна Херсонський, буд. 65 кв. 9, Южноукраїнськ, 09304",026 549-04-22,wsliusar@example.org
Самойленко,Яків,Лаврінівна,Чоловік,1953.01.20,Гірник,місто Жовті Води,"сквер 40-річчя оборони Одеси, буд. 428 кв. 69, Валки , 32882",+380 (15) 663-86-73,ihnatdakhno@example.org
Гречаник,Омелян,Мстиславівна,Чоловік,1984.05.21,Лікар,селище Ладижин,"сквер Лїнія 1-ша, буд. 570, Покров, 41563",093 083 52 15,lukianprokopovych@example.net
Семенченко,Зиновій,Анікітівна,Чоловік,1988.02.14,Археолог,місто Вараш,"шосе Ціолковського, буд. 176, Слов'янськ, 90130",043 988-55-37,panasshvedchenko@example.net
Дерегус,Роксолана,Володиславівна,Жінка,1956.08.27,Гірничий інженер,хутір Новоград-Волинський,"площа Старорізнична, буд. 863 кв. 1, Мар'їнка, 18789",042 699 09 96,skorobohatkoorkhyp@example.com
Єременко,Варвара,Філаретівна,Жінка,1965.04.03,Менеджер,хутір Прилуки,"проспект Весняна, буд. 1 кв. 5, Торецьк, 71156",022 159 24 63,hiakymenko@example.com
Засенко,Михайлина,Григоріївич,Жінка,1978.08.18,Інженер,село Хмільник,"вулиця Селищна, буд. 40 кв. 34, Калинівка , 49162",+380 07 256 60 53,panteleimon55@example.net
Байдак,Анжела,Агапіївна,Жінка,1951.10.20,Адвокат,селище Львів,"провулок Соляний 6-й, буд. 92 кв. 6, Долинська, 88176",+380 56 938-98-12,eduard90@example.org
Даньків,Климент,Вітольдівна,Чоловік,1986.06.25,Каскадер,село Гнівань,"парк Нежданової, буд. 495 кв. 1, Старий Крим, 31468",018 474-77-77,ustym50@example.com
Дергач,Богдан,Мелентіївна,Чоловік,1962.12.10,Льотчик,хутір Боково-Хрустальне,"шосе Лиманчик 2-й Лінія 8-ма, буд. 0 кв. 026, Баштанка, 98127",+380 92 415-51-06,fzabashta@example.org
Михалюк,Йосип,Варфоломійович,Чоловік,1984.10.10,Пілот,селище Торецьк,"проспект Марата 2-й, буд. 37 кв. 5, Василівка , 93778",+380 95 583-85-09,wpushkar@example.net
Архимович,Герман,Амвросіївна,Чоловік,1985.02.08,Актор,селище Балта,"шосе 1-ша Лінія Марії Демченко, буд. 1 кв. 00, Новояворівськ, 33862",872 96 38,iustyna28@example.net
Зарудний,Болеслав,Афанасіївна,Чоловік,2002.04.14,Астроном,хутір Знам'янка,"проспект Миколи Бажана, буд. 8, Ватутіне, 08661",097 495 78 48,chalenkomarta@example.net
Проценко,Герман,Семіонівна,Чоловік,1963.07.29,Медик,село Баранівка,"проспект Семафорний, буд. 820, Буринь, 51897",+380 (70) 387-86-95,iushchenkooleksandr@example.com
Чекалюк,Марина,Семенівна,Жінка,1992.10.03,Євнух,місто Вишневе ,"узвіз Князівська, буд. 6 кв. 32, Носівка, 09767",015 183-40-61,khrystynakylymnyk@example.com
Засенко,Еріка,Гордіївна,Жінка,1958.01.30,Гінеколог,село Почаїв,"площа Тіниста, буд. 84 кв. 82, Чортків, 14109",+380 (73) 115-37-25,viktoriia26@example.org
Гузій,Василина,Амвросіївна,Жінка,1994.09.19,Геофізик,село Березань ,"проспект Володимира Вінниченка, буд. 90 кв. 361, Рахів, 62011",+380 27 957-76-17,khrystenkokhrystyna@example.net
Стус,Валентина,Макарович,Жінка,1973.09.20,Реставратор,село Перещепине,"набережна Дальній, буд. 57 кв. 97, Вашківці, 64871",182-51-58,ada02@example.net
Доценко,Аарон,Григоріївна,Чоловік,1957.08.30,Психолог,село Мирноград,"шосе Нафтовиків, буд. 780, Прип'ять , 94579",034 86 48,adubas@example.com
Дейнека,Левко,Лаврентіївна,Чоловік,1975.01.29,Паралегал,хутір Синельникове,"узвіз Курортний 6-й, буд. 56, Горохів, 05620",080 933-40-85,itereshchuk@example.org
Александренко,Франц,Євгенович,Чоловік,1958.01.24,Медик,місто Рівне,"площа Бориса Дерев'янка, буд. 537 кв. 6, Гірник , 88737",+380 41 183-06-65,udovenkomyroslav@example.com
Мазепа,Демʼян,Вітольдівна,Чоловік,1954.07.29,Хімік,село Алупка,"вулиця Новгородська, буд. 00, Одеса, 44269",+380 85 396-88-87,hlibdanko@example.org
Приходько,Аврелій,Антонович,Чоловік,2005.08.22,Сценарист,місто Носівка,"сквер Церковна, буд. 38 кв. 054, Маріуполь, 58940",015 974 68 77,klavdiia04@example.com
Безбородько,Амвросій,Філаретівна,Чоловік,2005.10.23,Лікар,хутір Алупка,"провулок В’ячеслава Чорновола, буд. 2 кв. 74, Долинська, 51464",+380 (67) 111-57-26,lzhurba@example.net
Лисенко,Емілія,Валеріївна,Жінка,1954.04.25,Літературознавець,село Кривий Ріг,"сквер Проектна 2-га, буд. 312 кв. 15, Жовті Води, 66287",044 079 20 77,lshvaika@example.org
Щербак,Роксолана,Зеновіївна,Жінка,1998.06.15,Клоун,місто Городище ,"площа Станційна 3-тя, буд. 136 кв. 4, Севастополь, 09579",+380 73 974-11-12,kyryloudovychenko@example.net
Бараник,Оксана,Олесьович,Жінка,1959.05.27,Кінокритик,хутір Костянтинівка,"шосе Сільська, буд. 24 кв. 0, Часів Яр, 99894",018 478 44 80,amaliiaadamenko@example.org
Юрчишин,Аніта,Горгоніївна,Жінка,1990.12.21,Намотувальник,хутір Голубівка,"вулиця Бригадна, буд. 6 кв. 46, Географія Вільнянська, 96042",+380 23 328 94 00,iosypoberemko@example.net
Акуленко,Герман,Мірілівна,Чоловік,1957.01.20,Громадський діяч,місто Острог,"проспект Аграрна, буд. 82, Бурштин , 98743",+380 33 262-22-78,kovaliukmykhailo@example.com
Єрмоленко,Амвросій,Мінаївна,Чоловік,1965.04.19,Фізик,місто Васильків,"вулиця Водопровідний 1-й, буд. 22, Судак , 81203",+380 86 253 79 11,vasylyna37@example.org
Семенченко,Геннадій,Зеновіївна,Чоловік,1977.04.11,Письменник,хутір Калуш,"проспект Надіїі, буд. 377 кв. 900, Біляївка, 93232",+380 62 946 29 06,solomiia27@example.com
Штокало,Трохим,Філаретівна,Чоловік,1967.02.13,Кінолог,село Долинська,"шосе 21-й км Старокиївської дороги, буд. 0, Горішні Плавні, 14885",+380 01 251 52 50,cartym@example.net
Бездітко,Омелян,Савеліївна,Чоловік,1954.09.20,Археолог,селище Теплодар,"парк Пересипська 5-та, буд. 39 кв. 721, Молочанськ, 15176",+380 70 781-78-41,cudovenko@example.org
Гаврилів,Іван,Феофанівна,Чоловік,1967.11.24,Диригент,село Часів Яр,"площа Манежна, буд. 73 кв. 32, Мирноград, 43940",+380 (67) 485-97-55,anastasiia44@example.org
Матяш,Анжела,Федорович,Жінка,1976.08.15,Ювелір,місто Кіцмань,"набережна Пересипська 4-та, буд. 47 кв. 722, Великі Мости, 91755",+380 49 701 87 83,zakusylostepan@example.net
Гайворонський,Галина,Зеновіївна,Жінка,1975.03.22,Менеджер,селище Бобринець,"провулок 8-ма Лінія Дачі Ковалевського, буд. 343 кв. 987, Білогірськ, 55216",440-71-82,emiliiatkachenko@example.com
Стельмах,Вікторія,Мстиславович,Жінка,1985.06.09,Дерун,хутір Феодосія,"шосе Цементний, буд. 40, Надвірна, 64638",+380 29 691-36-27,ielysavetazakharenko@example.org
Гавриш,Людмила,Агапіївна,Жінка,1983.03.19,Провізор,селище Гайсин,"проспект 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 716 кв. 9, Кагарлик, 69895",022 852-36-93,chalyihavrylo@example.com
Акименко,Омелян,Захарівна,Чоловік,2000.09.01,Графік,хутір Малин,"шосе Скрипковий, буд. 866 кв. 410, Надвірна, 38369",074 251-81-71,artemtereshchuk@example.net
Семенченко,Дан,Кирилівна,Чоловік,1980.10.30,Мистецтвознавець,місто Костопіль,"проспект Південно-Санаторний, буд. 96, Турка, 63204",+380 83 842-54-28,dannapylypenko@example.com
Ільченко,Устим,Дмитрович,Чоловік,2001.05.01,Скульптор,місто Кам'янка (Черкаська область),"провулок Пересипська 7-ма, буд. 184 кв. 7, Мена , 94123",071 135 71 23,frants50@example.net
Деряжний,Арсен,Всеславівна,Чоловік,1964.05.06,Економіст,селище Брянка,"сквер Тульська, буд. 3, Бердянськ, 79834",362 92 31,feofanhaidai@example.org
Приходько,Віктор,Никифорівна,Чоловік,1986.03.22,Музичний редактор,селище Південне ,"парк Успенська, буд. 9 кв. 03, Красноград, 28197",+380 29 394 87 34,qbabko@example.com
Наливайко,Йосип,Несторович,Чоловік,1983.11.07,Художник,селище Корець,"площа Новоселів, буд. 8, Алушта, 15246",058 051-52-53,okhrimhavryshkevych@example.org
Євтушок,Анжела,Федорович,Жінка,1974.02.12,Провізор,селище Привілля,"провулок Штурвальна, буд. 747 кв. 90, Галич, 36644",+380 (47) 386-04-45,ieva29@example.org
Стець,Ярослава,Климентівна,Жінка,1971.04.22,Бухгалтер,хутір Карлівка,"провулок Пироговська, буд. 21 кв. 02, Ніжин, 51122",+380 43 640-67-09,ghaidai@example.net
Медведенко,Амалія,Лідійовна,Жінка,2003.10.28,Патологоанатом,село Красногорівка,"набережна Восьмого Березня Лінія 5-та, буд. 19, Стрий, 17515",+380 99 827 52 64,wlahoda@example.net
Іванченко,Тетяна,Никифорівна,Жінка,1973.02.01,Бібліотекар,село Сєвєродонецьк,"площа Новиков міст, буд. 9, Дубляни, 83771",+380 73 581 77 20,iarema95@example.org
Вишиваний,Володимир,Мартінівна,Чоловік,1955.06.05,Фермер,селище Золотоноша,"проспект Марсельська, буд. 34 кв. 37, П'ятихатки, 82869",746 32 66,emiliia64@example.com
Давимука,Петро,Олексійович,Чоловік,1956.06.09,Бібліограф,селище Дергачі,"шосе Крижанівський, буд. 738, Борзна, 12590",036 67 22,dbevz@example.net
Зінченко,Єлисей,Макарович,Чоловік,2006.06.02,Флорист,село Хуст,"сквер Короленка, буд. 15 кв. 1, Яремче, 73344",+380 84 238-22-29,tymofii91@example.net
Чміль,Демид,Анікітівна,Чоловік,1973.03.22,Штукатур,селище Вижниця,"парк Волна тупик, буд. 859, Червоносів, 37162",+380 (25) 520-09-55,valerii65@example.net
Забара,Хома,Вікторівич,Чоловік,1971.10.12,Ді-джей,село Хуст,"парк Юхима Геллера, буд. 1, Прип'ять , 40085",032 883 71 73,danna93@example.org
Лаба,Левко,Васильович,Чоловік,1959.10.09,Бухгалтер,село Умань,"площа Лиманчик 2-й Лінія 5-та, буд. 45, Марганець , 94451",961 08 20,boryslaviurchuk@example.net
Калениченко,Марʼяна,Анікітівна,Жінка,1985.06.25,Дизайнер,селище Новояворівськ,"площа Інглезі, буд. 900, Вугледар, 84424",+380 05 504 07 70,nadiiafesenko@example.net
Цісик,Соломія,Анісіївна,Жінка,1954.12.13,Кінорежисер,селище Комарно,"провулок Шампанський, буд. 728 кв. 5, Носівка, 03677",+380 52 796 74 93,marusia79@example.net
Самойленко,Орися,Амвросіївна,Жінка,1960.08.12,Льотчик,селище Карлівка,"проспект Махачкалинська, буд. 98, Борислав, 22988",+380 (39) 259-35-65,oshablii@example.net
Акименко,Марта,Аркадіївна,Жінка,1975.06.27,Детектив,хутір Долинська,"набережна Іспанський, буд. 91, Богодухів, 29392",+380 76 817-66-88,sparasiuk@example.org
Базилевич,Руслан,Афанасіївна,Чоловік,2002.06.05,Редактор,село Хмельницький,"набережна Лиманчик 2-й Лінія 5-та, буд. 081, Середина-Буда, 51472",+380 99 055 58 02,olesdubyna@example.org
Єщенко,Климент,Олексійович,Чоловік,1959.01.03,Педагог,місто Олександрівськ,"узвіз Вапняний 2-й, буд. 114, Славута, 23487",+380 53 728-49-26,lrudko@example.net
Дубина,Ігнат,Спартаківна,Чоловік,2005.01.23,Актор,селище Монастириська,"набережна Новикова, буд. 2, Бровари, 33501",+380 30 426-06-97,veniiamynzhadan@example.net
Цюпа,Демʼян,Мар’янівна,Чоловік,1969.10.26,Кур'єр,місто Мерефа,"вулиця Лобачевського, буд. 687 кв. 1, Часів Яр, 81233",+380 67 408 38 66,pavlo26@example.org
Гайденко,Климент,Юхимівна,Чоловік,1962.08.06,Музикант,селище Тлумач,"провулок Окружна, буд. 927, Зугрес, 41169",+380 99 901 39 34,alevtynzasiadko@example.org
Ящук,Трохим,Іракліївна,Чоловік,2007.10.24,Ботанік,село Лубни,"площа Східчастий, буд. 8 кв. 943, Коростишів, 08745",242-87-46,lhabelko@example.com
Забарний,Юстина,Єфросинівна,Жінка,1969.07.14,Ріелтор,хутір Носівка,"провулок Дворянська, буд. 6 кв. 7, Чоп, 38650",+380 78 989 73 69,datsenkobohdan@example.com
Вакарчук,Едита,Васильович,Жінка,1977.09.01,Фотограф,селище Федорівка,"вулиця Верстатобудівна, буд. 902 кв. 36, Баштанка, 57273",225-13-51,milena51@example.com
Колесниченко,Христина,Альбертівна,Жінка,1969.04.17,Біолог,селище Олешки,"вулиця Кострова, буд. 710, Мелітополь, 78626",160 98 69,bpavlyk@example.com
Рева,Емілія,Казимирівна,Жінка,2007.12.25,Промисловець,хутір Тальне,"провулок Українська, буд. 01, Щастя , 40728",032 74 16,vshchors@example.org
Шутько,Юхим,Юстиніанівна,Чоловік,1966.03.14,Мовознавець,місто Львів,"парк Побратимів, буд. 31, Бурштин , 09874",053 689-62-65,xandreiko@example.net
Масоха,Леонтій,Варфоломійович,Чоловік,1994.07.01,Машиніст,хутір Ковель,"провулок Скидановський узвіз, буд. 53 кв. 93, Сторожинець, 74039",005 085-55-93,zchuiko@example.net
Охримович,Прохір,Григоріївна,Чоловік,1986.11.07,Науковець,місто Каховка,"узвіз Ашгабатська, буд. 67 кв. 5, Бунге , 81265",023 62 86,mariana16@example.com
